game_id,uid,url,black,black_rank,b_pred_game,b_pred_double,b_pred_asym,b_pred_game_prob,b_pred_double_prob,b_pred_asym_prob,b_std_game,b_std_double,b_std_asym,white,white_rank,w_pred_game,w_pred_double,w_pred_asym,w_pred_game_prob,w_pred_double_prob,w_pred_asym_prob,w_std_game,w_std_double,w_std_asym
1A89K8gMVqKvoiGYixxM,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/1A89K8gMVqKvoiGYixxM,KaWeiqi1,,4.977,4.098,4.322,4.574,5.234,4.046,2.568,2.479,2.497,Westf1Br1,,1.749,3.110,1.979,4.574,3.565,2.617,2.568,2.621,2.631
8XiFUCkKy4QieEfzIReD,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/8XiFUCkKy4QieEfzIReD,KaWeiqi4,,-5.315,-5.658,-6.189,-5.030,-6.231,-5.782,2.092,2.288,2.084,Bonn4,,-5.817,-5.686,-5.858,-5.030,-5.923,-5.327,2.092,2.441,2.156
BGjQg6O3Ywu0gycsHquZ,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/BGjQg6O3Ywu0gycsHquZ,hhpauli4,,0.683,0.100,0.317,0.758,-0.452,-0.847,2.939,2.986,2.929,Bonn4,,-1.422,-0.182,-0.606,0.758,-1.028,-1.386,2.939,3.157,2.605
EZ4T8zU5uyu3ygQAi0A1,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/EZ4T8zU5uyu3ygQAi0A1,Zebraping4,,4.089,2.181,2.324,3.139,3.047,2.115,2.668,2.799,2.683,elch4,,1.482,1.896,1.499,3.139,2.054,1.528,2.668,2.934,2.567
F6UYYN80yUw6l3WvMgC3,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/F6UYYN80yUw6l3WvMgC3,mk03,,6.028,5.475,4.619,4.785,6.064,6.108,2.626,2.654,2.316,elch3,,6.572,6.139,6.765,4.785,6.871,6.069,2.626,2.739,2.164
IcmZ4pFeypX5Hg4nDnaU,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/IcmZ4pFeypX5Hg4nDnaU,Bremen02,,9.227,9.058,9.435,8.713,10.532,8.867,1.913,1.748,1.776,Zebraping2,,9.132,8.980,9.887,8.713,10.750,9.347,1.913,1.809,1.563
JPo5E0ujk4UdnpLlasNp,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/JPo5E0ujk4UdnpLlasNp,mk02,,6.904,7.268,6.008,7.788,8.029,6.125,2.083,1.669,2.156,hhpauli2,,0.546,6.349,5.348,7.788,7.092,5.948,2.083,2.234,2.361
K7PUnwGryNtGdcAqWKHp,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/K7PUnwGryNtGdcAqWKHp,Westf1Br1,,7.771,6.542,7.778,7.837,8.742,7.778,2.075,2.235,1.942,hhpauli1,,6.970,6.055,6.901,7.837,8.292,7.088,2.075,2.268,2.089
OBXcn8COw9hiTSmneP0i,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/OBXcn8COw9hiTSmneP0i,Zebraping1,,4.726,5.545,5.874,5.530,6.567,5.137,2.554,2.433,2.407,Bonn1,,4.946,4.756,4.818,5.530,5.305,4.090,2.554,2.538,2.487
OvsqojVeHwUOWwv1e8U8,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/OvsqojVeHwUOWwv1e8U8,Bonn1,,5.921,5.692,6.376,5.532,6.820,6.092,2.500,2.509,2.170,Westf1Br1,,6.093,5.588,5.361,5.532,6.416,5.333,2.500,2.564,2.471
PAGfjZoomaNgM9qxoiQt,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/PAGfjZoomaNgM9qxoiQt,KaWeiqi3,,9.997,9.013,8.733,9.551,10.330,8.561,1.630,1.786,1.605,TriLux3,,7.409,7.879,8.855,9.551,9.370,8.542,1.630,2.055,1.964
RqzNOJ1X6S8VjfQ0TVz7,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/RqzNOJ1X6S8VjfQ0TVz7,Zebraping3,,4.568,2.809,5.797,3.994,5.776,7.162,2.629,2.408,2.075,Bonn3,,4.507,3.233,4.295,3.994,5.144,5.164,2.629,2.431,1.965
SOyFY9QckbpavlyWwHbu,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/SOyFY9QckbpavlyWwHbu,hhpauli1,,5.575,6.997,8.860,5.039,8.127,7.874,2.667,2.322,1.932,KaWeiqi1,,7.967,7.720,7.616,5.039,8.754,7.317,2.667,2.301,2.032
TIew0SopYJseB6C7Cj3L,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/TIew0SopYJseB6C7Cj3L,JIGS2,,8.348,8.463,9.141,6.971,9.468,8.539,2.198,1.983,1.855,elch2,,9.133,8.342,8.869,6.971,9.536,8.296,2.198,1.973,1.778
UhEIQpkQC0ohkfOxkuL4,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/UhEIQpkQC0ohkfOxkuL4,Bremen02,,-0.686,0.361,1.054,0.656,0.226,-1.219,2.975,3.146,2.708,Bonn2,,-1.837,0.451,1.244,0.656,0.495,0.110,2.975,3.233,2.911
WJeaDeRkbSNNJmCVeDtd,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/WJeaDeRkbSNNJmCVeDtd,TriLux1,,6.205,5.593,6.275,5.664,6.557,5.730,2.484,2.715,2.427,elch1,,4.967,5.542,6.302,5.664,6.070,5.589,2.484,2.718,2.317
WVlCUDGFfKq9B4pQejhu,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/WVlCUDGFfKq9B4pQejhu,hhpauli3,,-2.017,-0.369,2.391,-1.386,2.503,2.475,3.290,2.894,2.532,KaWeiqi3,,3.777,0.533,2.941,-1.386,2.708,1.771,3.290,2.929,2.680
XP1Jv81lLXxOwDAcQatd,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/XP1Jv81lLXxOwDAcQatd,TriLux4,,-2.821,-2.729,-2.987,-3.247,-1.849,-1.992,3.083,2.846,3.003,KaWeiqi4,,-2.217,-2.783,-4.031,-3.247,-2.151,-3.865,3.083,3.103,2.831
YDBGWG3dcLtmRcwjV79C,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/YDBGWG3dcLtmRcwjV79C,Westf1Br2,,4.917,6.173,6.811,3.070,7.799,7.582,2.990,2.343,2.139,KaWeiqi2,,9.556,7.832,7.325,3.070,8.716,6.998,2.990,2.136,1.896
ZTpM2tIbO5Jcri6Ug78B,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/ZTpM2tIbO5Jcri6Ug78B,JIGS3,,6.182,6.188,5.974,4.920,7.256,6.818,2.584,2.351,2.213,KaWeiqi3,,8.684,7.471,7.605,4.920,8.432,7.552,2.584,2.111,1.727
c4fFzDq6pD2qgnUqxptG,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/c4fFzDq6pD2qgnUqxptG,KaWeiqi2,,5.386,4.550,4.786,4.598,5.793,4.789,2.610,2.671,2.525,hhpauli2,,6.471,4.892,5.558,4.598,6.195,5.263,2.610,2.786,2.212
eCXRCmTQCf7EophvHkZi,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/eCXRCmTQCf7EophvHkZi,Bremen03,,8.041,8.494,9.527,7.651,10.327,9.473,2.044,1.833,1.664,KaWeiqi3,,10.707,9.330,9.194,7.651,10.757,8.769,2.044,1.632,1.501
gim0J4hPsfuz9WoNvlXM,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/gim0J4hPsfuz9WoNvlXM,Westf1Br1,,4.490,3.232,2.393,3.467,3.126,3.134,2.751,2.847,2.636,Zebraping1,,3.340,3.507,3.410,3.467,3.449,3.740,2.751,2.937,2.518
i51xhMbUC0zjYUeFilgj,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/i51xhMbUC0zjYUeFilgj,KaWeiqi1,,10.518,10.335,10.520,10.843,12.014,10.665,1.308,1.430,1.175,mk01,,9.882,9.761,11.142,10.843,11.957,10.278,1.308,1.569,1.319
jMoTEPH0Ic8fNLTpxRoY,Nnp3ocAUsTTIyTXMX0dh2h2AI6l2,https://ai-sensei.com/game/Nnp3ocAUsTTIyTXMX0dh2h2AI6l2/jMoTEPH0Ic8fNLTpxRoY,Zebraping4,,5.833,5.645,5.385,5.635,6.026,5.153,2.357,2.483,2.415,Westf1Br4,,4.449,5.398,6.237,5.635,5.875,5.063,2.357,2.688,2.364
